start
| epoch   2 |  2800/17578 batches | lr 2.00000 | ms/batch 409.40 | loss 0.006 | bpc 0.008
| epoch   2 |  2900/17578 batches | lr 2.00000 | ms/batch 410.48 | loss 0.005 | bpc 0.008
| epoch   2 |  3000/17578 batches | lr 2.00000 | ms/batch 407.60 | loss 0.006 | bpc 0.008
| epoch   2 |  3100/17578 batches | lr 2.00000 | ms/batch 409.09 | loss 0.005 | bpc 0.008
| epoch   2 |  3200/17578 batches | lr 2.00000 | ms/batch 410.23 | loss 0.006 | bpc 0.008
| epoch   2 |  3300/17578 batches | lr 2.00000 | ms/batch 409.27 | loss 0.006 | bpc 0.008
| epoch   2 |  3400/17578 batches | lr 2.00000 | ms/batch 408.24 | loss 0.006 | bpc 0.008
| epoch   2 |  3500/17578 batches | lr 2.00000 | ms/batch 408.95 | loss 0.006 | bpc 0.008
| epoch   2 |  3600/17578 batches | lr 2.00000 | ms/batch 409.22 | loss 0.006 | bpc 0.008
| epoch   2 |  3700/17578 batches | lr 2.00000 | ms/batch 410.13 | loss 0.005 | bpc 0.008
| epoch   2 |  3800/17578 batches | lr 2.00000 | ms/batch 409.11 | loss 0.006 | bpc 0.008
| epoch   2 |  3900/17578 batches | lr 2.00000 | ms/batch 410.04 | loss 0.006 | bpc 0.008
| epoch   2 |  4000/17578 batches | lr 2.00000 | ms/batch 407.16 | loss 0.006 | bpc 0.008
| epoch   2 |  4100/17578 batches | lr 2.00000 | ms/batch 409.47 | loss 0.006 | bpc 0.008
| epoch   2 |  4200/17578 batches | lr 2.00000 | ms/batch 409.77 | loss 0.006 | bpc 0.008
| epoch   2 |  4300/17578 batches | lr 2.00000 | ms/batch 409.26 | loss 0.005 | bpc 0.008
| epoch   2 |  4400/17578 batches | lr 2.00000 | ms/batch 407.61 | loss 0.006 | bpc 0.008
| epoch   2 |  4500/17578 batches | lr 2.00000 | ms/batch 409.87 | loss 0.006 | bpc 0.008
| epoch   2 |  4600/17578 batches | lr 2.00000 | ms/batch 406.87 | loss 0.006 | bpc 0.008
| epoch   2 |  4700/17578 batches | lr 2.00000 | ms/batch 410.60 | loss 0.005 | bpc 0.008
| epoch   2 |  4800/17578 batches | lr 2.00000 | ms/batch 409.76 | loss 0.006 | bpc 0.008
| epoch   2 |  4900/17578 batches | lr 2.00000 | ms/batch 409.32 | loss 0.005 | bpc 0.008
| epoch   2 |  5000/17578 batches | lr 2.00000 | ms/batch 409.26 | loss 0.006 | bpc 0.008
| epoch   2 |  5100/17578 batches | lr 2.00000 | ms/batch 409.71 | loss 0.005 | bpc 0.008
| epoch   2 |  5200/17578 batches | lr 2.00000 | ms/batch 408.22 | loss 0.005 | bpc 0.008
| epoch   2 |  5300/17578 batches | lr 2.00000 | ms/batch 409.29 | loss 0.005 | bpc 0.008
| epoch   2 |  5400/17578 batches | lr 2.00000 | ms/batch 409.78 | loss 0.006 | bpc 0.008
| epoch   2 |  5500/17578 batches | lr 2.00000 | ms/batch 409.16 | loss 0.006 | bpc 0.008
| epoch   2 |  5600/17578 batches | lr 2.00000 | ms/batch 410.31 | loss 0.006 | bpc 0.008
| epoch   2 |  5700/17578 batches | lr 2.00000 | ms/batch 409.23 | loss 0.005 | bpc 0.008
| epoch   2 |  5800/17578 batches | lr 2.00000 | ms/batch 409.31 | loss 0.006 | bpc 0.008
